# 第一順位：識字,,
雀,すずめ,
裂く,さく,
割く,さく,
注す,さす,
左折,させつ,
逆さ,さかさ,
盛り,さかり,
座敷,ざしき,
囁く,ささやく,
削減,さくげん,
逆様,さかさま,
献立,こんだて,
再三,さいさん,
催促,さいそく,
裁縫,さいほう,
遮る,さえぎる,
些少,さしょう,
昆虫,こんちゅう,
＊細工,さいく,
＊裁判所,さいばんしょ,
差し支え,さしつかえ,
＊差し引く,さしひく,
,,
,,
# 第二順位：組合動詞,,
(差し1/2) 差し＋支え,差し支えなければ、お名前を伺ってもよろしいでしょうか。,"if don't mind, ..."
(差し2/2) 差し＋引く,手数料を差し引く。,deduct (v.)
,,
,,
# 第三順位：No Memories,,
献立,ー,menu (n.)
盛り,暑(あつ)さの盛りももう過ぎた。,peak (n.)
割く,時間を割く。,Make time.
差し支え,差し支えなければ、お名前を伺ってもよろしいでしょうか。,"if don't mind, ..."
差し引く,手数料を差し引く。,deduct (v.)
(遮る2/2),彼は話の途中で私の言葉を遮った。,interrupt (v.)
(細工1/3),この箱は精巧な細工が施されている。,craftsmanship (n.)
(細工2/3),彼の話には何か細工がある気がする。,trick (n.)
(細工3/3),この装置は誰かが細工した形跡がある。,process (v.)
＊さえずる,スズメがさえずる。,chirp (v.)
(　ごろごろ1/4),ボールが坂をごろごろ転(ころ)がっていく。,The ball rolled down the slope with a rumbling motion.
(　ごろごろ2/4),空がごろごろ鳴っている。,The sky is rumbling with thunder.
(＊ごろごろ3/4),休日は家でごろごろしていた。,I just lazed around at home on my day off.
(＊ごろごろ4/4),宝石がごろごろ出てきた。,Jewels came out in large lumps.
,,
,,
# 第四順位：Some Memories,,
さっと,雨がさっと降った。,
ささやく,耳元でささやく。,
ざあざあ,一晩中雨がざあざあ降る。,
逆さ / 逆様,順序が逆さだ。／逆様になる。,
,,
,,
# 第五順位: 外來語,,
サイレン,= クラクション,
サークル,「文学サークル」,= community (n.)
コンセント,プラグをコンセントに差し込む。,outlet (n.)
,,
,,
# 第六順位：words with sequential voicing (Rendaku) phenomena,,
献立,,
,,
,,
# 第七順位（末位）：prefixal/suffixal words,,
～盛り,,
