# 第一順位：識字,,
＊竿,さお,
予期,よき,
翌～,よく,
盛る,もる,
虫歯,むしば,
目次,もくじ,
潜る,もぐる,
模型,もけい,
模倣,もほう,
役場,やくば,
火傷,やけど,
宿る,やどる,
家主,やぬし,
容易,ようい,
用語,ようご,
預金,よきん,
要旨,ようし,
用途,ようと,
様式,ようしき,
溶岩,ようがん,
役者,やくしゃ,
用心,ようじん,
要請,ようせい,
容積,ようせき,
溶接,ようせつ,
要望,ようぼう,
翌朝,よくあさ,
浴室,よくしつ,
矢印,やじるし,
夕刊,ゆうかん,
悠々,ゆうゆう,
黙認,もくにん,
薬品,やくひん,
催す,もよおす,
役職,やくしょく,
養殖,ようしょく,
素・基,もと,
＊＊鞭,むち,
＊群れ,むれ,
＊無地,むじ,
＊余暇,よか,
＊輸血,ゆけつ,
＊量る,はかる,
＊目安,めやす,
＊問答,もんどう,
＊抑制,よくせい,
＊目印,めじるし,
＊要領,ようりょう,
＊承諾,しょうだく,
行き来,ゆきき,
避ける,よける,
除ける,のける,
行く先,ゆくさき,
敗れる,やぶれる,
横書き,よこがき,
詣でる,もうでる,
持ち主,もちぬし,
物差し,ものさし,
物忘れ,ものわすれ,
＊＊目方,めかた,
＊用いる,もちいる,
＊凭れる,もたれる,
持て成す,もてなす,
遣り通す,やりとおす,
名所旧跡,めいしょきゅうせき,
物置・物置き,ものおき,
～避け・～除け,よけ,
,,
,,
# 第二順位：組合動詞,,
巡り＋合う,良師に巡り合った。,meet (v.)
申し＋出る,援助を申し出る。,apply (v.) / report(v.) (issues)
持て＋成す,丁重にもてなす。,treat (v.) / greet (v.)
行き＋過ぎる,家の前を行きすぎる。,go past ...
結び＋付く/付ける,"1. 顔と名前がなかなか結び付かない。
2. 原因と結果を結び付ける。
3. 旗を竿(さお)に結び付ける。","1. correspond (v.)
2. combine (v.)
3. attach (v.)"
(持ち1/3) 持ち＋上げる,"1. 荷物を持ち上げる。
2. 上司をあまり持ち上げないほうがいい。","1. lift (v.)
2. flatter (v.)"
(持ち2/3) 持ち＋込む,液体を持ち込む禁止。／私情を持ち込まないで。,bring ... into ... (v.)
(持ち3/3) 持ち＋出す,"1. パソコンを無断で持ち出す。
2. 金の話を持ち出す。","1. take (v.) (usually without permission)
2. ""bring up money matters"""
(遣り1/2) やり＋通す,最後までやり通す。,accomplish (v.)
(遣り2/2) やり＋遂げる,一人でやり遂げた。,accomplish (v.)
,,
,,
# 第三順位：No Memory,,
＊湯呑・湯呑み・湯飲み,ー,teacup (n.)
むち,「愛の鞭」,whip (n.)
物置,「物置の部屋」,storage ( . )
群れ,「牛の群れ」,a group of ...
盛る,ご飯を盛る。／毒を盛る。,serve (v.)
用心,「用心深い人」／用心して事に当たる。,pay attention to
要請,援助を要請する。,apply (v.)
溶接,電気で溶接する。,weld (v.)
要望,条件の改善を要望する。,expect (v.)
預金,「預金口座」／賃金を預金する。,deposit (n./v.)
役所,パスポートの手続きは役所でできます。,"government office (n.), ""地方政府機関の通称"""
役職,彼は新しい役職に就(つ)いたばかりだ。,position (n.)
役場,「町の役場」／「村の役場」,"government office (n.), ""町・村の政府機関の通称"""
矢印,矢印を付ける。,arrow sign (n.)
夕刊,夕刊を買って帰る。,evening (news)paper (n.)
やや,「やや大きめ」,a little bit
悠々,悠々と歩く。,leisurely (a.)
＊目次,目次を確認する。,list (n.) / inventory (n.)
＊無地,「無地の着物」,simple (a.)
＊目印,目印を付ける。,marker (n.)
目付き,目付きが怖い。,~ eyes
行き来,「人の行き来」,the coming and going (of people)
申し訳,申し訳をする。,excuse (n.) / pretext (n.)
